d_measured,d_error,theta_measured,theta_error
1.279,0.146,-0.305,0.088
1.279,0.146,-0.081,0.136
1.295,0.130,-0.081,0.104
1.295,0.130,-0.036,0.149
1.331,0.093,-0.036,0.128
1.331,0.093,-0.194,0.029
1.327,0.097,-0.194,0.039
1.327,0.097,-0.177,0.022
1.328,0.096,-0.177,0.036
1.328,0.096,-0.152,0.010
1.329,0.094,-0.152,0.066
1.329,0.094,-0.121,0.036
1.331,0.092,-0.121,0.064
1.331,0.092,-0.088,0.032
1.328,0.095,-0.088,0.054
1.328,0.095,-0.058,0.024
1.355,0.068,-0.058,0.066
1.355,0.068,0.180,0.173
1.364,0.059,0.180,0.128
1.364,0.059,0.213,0.161
1.334,0.089,0.213,0.140
1.334,0.089,0.036,0.037
1.381,0.042,0.036,0.054
1.381,0.042,0.283,0.192
1.333,0.091,0.283,0.153
1.333,0.091,0.100,0.030
1.338,0.086,0.100,0.055
1.338,0.086,0.130,0.024
1.331,0.093,0.130,0.054
1.331,0.093,0.164,0.020
1.332,0.092,0.164,0.065
1.332,0.092,0.197,0.032
1.335,0.090,0.197,0.085
1.335,0.090,0.229,0.053
1.326,0.099,0.229,0.063
1.326,0.099,0.261,0.031
1.326,0.100,0.261,0.050
1.326,0.100,0.293,0.017
1.337,0.089,0.293,0.029
1.337,0.089,0.320,0.002
1.328,0.100,0.320,0.068
1.328,0.100,0.354,0.033
1.325,0.104,0.354,0.092
1.325,0.104,0.418,0.028
1.331,0.100,0.418,0.078
1.331,0.100,0.447,0.050
1.320,0.113,0.447,0.102
1.320,0.113,0.475,0.073
1.308,0.126,0.475,0.112
1.308,0.126,0.483,0.104
1.339,0.096,0.483,0.117
1.339,0.096,0.518,0.083
1.425,0.011,0.518,0.107
1.425,0.011,0.532,0.093
1.387,0.048,0.532,1.089
1.387,0.048,-0.533,0.024
1.211,0.222,-0.533,0.013
1.211,0.222,-0.325,0.195
1.308,0.125,-0.325,0.180
1.308,0.125,-0.499,0.006
1.309,0.121,-0.499,0.084
1.309,0.121,-0.476,0.061
1.326,0.104,-0.476,0.072
1.326,0.104,-0.419,0.015
1.331,0.097,-0.419,0.052
1.331,0.097,-0.396,0.030
1.327,0.101,-0.396,0.058
1.327,0.101,-0.365,0.027
1.338,0.089,-0.365,0.065
1.338,0.089,-0.336,0.035
1.335,0.091,-0.336,0.073
1.335,0.091,-0.300,0.037
1.324,0.101,-0.300,0.056
1.324,0.101,-0.273,0.029
1.326,0.099,-0.273,0.078
1.326,0.099,-0.240,0.045
1.336,0.089,-0.240,0.081
1.336,0.089,-0.209,0.050
1.326,0.097,-0.209,0.078
1.326,0.097,-0.174,0.042
1.322,0.102,-0.174,0.071
1.322,0.102,0.055,0.158
1.334,0.089,0.055,0.133
1.334,0.089,-0.111,0.032
1.331,0.092,-0.111,0.048
1.331,0.092,-0.085,0.022
1.335,0.088,-0.085,0.020
1.335,0.088,-0.056,0.008
1.328,0.096,-0.056,0.014
1.328,0.096,-0.046,0.025
1.328,0.095,-0.046,0.044
1.328,0.095,-0.056,0.034
1.330,0.094,-0.056,0.036
1.330,0.094,-0.072,0.021
1.331,0.092,-0.072,0.021
1.331,0.092,-0.088,0.004
1.328,0.096,-0.088,0.003
1.328,0.096,0.112,0.197
1.324,0.099,0.112,0.192
1.324,0.099,-0.085,0.005
1.330,0.093,-0.085,0.017
1.330,0.093,-0.074,0.007
1.329,0.094,-0.074,0.007
1.329,0.094,-0.066,0.001
1.329,0.094,-0.066,0.007
1.329,0.094,-0.066,0.007
1.338,0.085,-0.066,0.012
1.338,0.085,0.135,0.213
1.330,0.094,0.135,0.216
1.330,0.094,-0.075,0.006
1.336,0.087,-0.075,0.008
1.336,0.087,0.124,0.208
1.331,0.093,0.124,0.205
1.331,0.093,-0.083,0.002
1.337,0.087,-0.083,0.005
1.337,0.087,0.126,0.203
1.330,0.094,0.126,0.199
1.330,0.094,-0.073,0.000
1.336,0.087,-0.073,0.001
1.336,0.087,-0.072,0.003
1.336,0.087,-0.072,0.005
1.336,0.087,-0.071,0.006
1.330,0.093,-0.071,0.008
1.330,0.093,-0.075,0.004
1.337,0.087,-0.075,0.004
1.337,0.087,-0.077,0.002
1.330,0.093,-0.077,0.001
1.330,0.093,-0.077,0.001
1.330,0.093,-0.077,0.001
1.330,0.093,-0.077,0.001
1.330,0.093,-0.077,0.001
1.330,0.093,-0.075,0.000
1.330,0.094,-0.075,0.001
1.330,0.094,-0.074,0.002
1.330,0.094,-0.074,0.003
1.330,0.094,-0.073,0.003
1.323,0.100,-0.073,0.005
1.323,0.100,-0.075,0.003
1.330,0.093,-0.075,0.003
1.330,0.093,-0.075,0.003
1.324,0.100,-0.075,0.002
1.324,0.100,-0.077,0.000
1.330,0.093,-0.077,0.000
1.330,0.093,-0.075,0.002
