[ros2run]: Process exited with failure 1
1.396,-0.005,0.536,0.013
1.282,-0.117,0.536,0.069
1.282,-0.117,0.494,0.027
1.293,-0.105,0.494,0.057
1.293,-0.105,0.470,0.033
1.295,-0.100,0.470,0.149
1.295,-0.100,0.426,0.105
1.295,-0.099,0.426,0.173
1.295,-0.099,0.336,0.083
1.301,-0.092,0.336,0.131
1.301,-0.092,0.261,0.056
1.297,-0.095,0.261,0.119
1.297,-0.095,0.208,0.067
1.300,-0.092,0.208,0.142
1.300,-0.092,0.137,0.071
1.298,-0.094,0.137,0.146
1.298,-0.094,0.081,0.090
1.301,-0.091,0.081,0.108
1.301,-0.091,0.031,0.059
1.294,-0.099,0.031,0.122
1.294,-0.099,-0.010,0.081
1.303,-0.089,-0.010,0.107
1.303,-0.089,-0.071,0.047
1.299,-0.095,-0.071,0.167
1.299,-0.095,-0.135,0.102
1.296,-0.101,-0.135,0.211
1.296,-0.101,-0.225,0.121
1.294,-0.105,-0.225,0.173
1.294,-0.105,-0.334,0.083
1.297,-0.104,-0.334,0.135
1.297,-0.104,-0.420,0.049
1.299,-0.105,-0.420,0.142
1.299,-0.105,-0.462,0.100
1.188,-0.218,-0.462,0.134
1.188,-0.218,-0.317,0.278
1.388,-0.019,-0.317,0.327
1.388,-0.020,-0.527,0.135
1.388,-0.021,-0.527,0.154
1.388,-0.021,-0.527,0.154
1.326,-0.075,-0.527,-1.041
1.326,-0.075,0.523,0.009
1.277,-0.121,0.523,0.068
1.277,-0.121,0.495,0.040
1.300,-0.096,0.495,0.115
1.300,-0.096,0.463,0.083
1.294,-0.100,0.463,0.162
1.294,-0.100,0.395,0.093
1.297,-0.097,0.395,0.160
1.297,-0.097,0.313,0.078
1.298,-0.094,0.313,0.161
1.298,-0.094,0.234,0.082
1.295,-0.097,0.234,0.221
1.295,-0.097,0.177,0.164
1.298,-0.094,0.177,0.209
1.298,-0.094,0.079,0.111
1.307,-0.086,0.079,0.190
1.307,-0.086,0.020,0.130
1.313,-0.080,0.020,0.153
1.313,-0.080,0.169,0.302
1.294,-0.099,0.169,0.362
1.294,-0.099,-0.101,0.092
1.298,-0.096,-0.101,0.129
1.298,-0.096,-0.162,0.069
1.305,-0.092,-0.162,0.189
1.305,-0.092,-0.289,0.061
1.297,-0.102,-0.289,0.121
1.297,-0.102,-0.354,0.056
1.220,-0.180,-0.354,0.108
1.220,-0.180,-0.226,0.236
1.302,-0.101,-0.226,0.307
1.302,-0.101,-0.474,0.059
1.280,-0.128,-0.474,0.171
1.280,-0.128,-0.499,0.146
1.390,-0.020,-0.499,0.183
1.390,-0.020,-0.536,0.146
1.308,-0.092,-0.536,-1.035
1.308,-0.092,0.515,0.017
1.274,-0.123,0.515,0.106
1.274,-0.123,0.491,0.081
1.294,-0.102,0.491,0.126
1.294,-0.102,0.463,0.098
1.295,-0.100,0.463,0.147
1.295,-0.100,0.373,0.057
1.298,-0.095,0.373,0.136
1.298,-0.095,0.331,0.093
1.297,-0.096,0.331,0.131
1.297,-0.096,0.268,0.068
1.299,-0.093,0.268,0.165
1.299,-0.093,0.214,0.112
1.302,-0.090,0.214,0.172
1.302,-0.090,0.151,0.108
1.293,-0.099,0.151,0.187
1.293,-0.099,0.090,0.127
1.300,-0.092,0.090,0.149
1.300,-0.092,0.022,0.081
1.314,-0.079,0.022,0.156
1.314,-0.079,-0.042,0.091
1.298,-0.096,-0.042,0.178
1.298,-0.096,0.077,0.297
1.299,-0.098,0.077,0.436
1.299,-0.098,-0.193,0.166
1.306,-0.093,-0.193,0.229
1.306,-0.093,-0.276,0.146
1.295,-0.105,-0.276,0.199
1.295,-0.105,-0.351,0.124
1.296,-0.107,-0.351,0.172
1.296,-0.107,-0.419,0.104
1.289,-0.115,-0.419,0.130
1.289,-0.115,-0.480,0.069
1.285,-0.121,-0.480,0.147
1.285,-0.121,-0.507,0.120
1.285,-0.115,-0.507,-0.986
1.285,-0.115,0.513,0.034
1.276,-0.122,0.513,0.071
1.276,-0.122,0.477,0.035
1.292,-0.104,0.477,0.113
1.292,-0.104,0.450,0.087
1.290,-0.104,0.450,0.184
1.290,-0.104,0.398,0.131
1.296,-0.097,0.398,0.191
1.296,-0.097,0.282,0.086
1.299,-0.094,0.282,0.124
1.299,-0.094,0.213,0.056
1.297,-0.095,0.213,0.146
1.297,-0.095,0.157,0.089
1.300,-0.093,0.157,0.280
1.300,-0.093,0.007,0.130
1.315,-0.079,0.007,0.149
1.315,-0.079,0.148,0.290
1.297,-0.097,0.148,0.331
1.297,-0.097,-0.118,0.065
1.298,-0.098,-0.118,0.177
1.298,-0.098,-0.186,0.109
1.296,-0.101,-0.186,0.143
1.296,-0.101,-0.280,0.049
1.306,-0.092,-0.280,0.128
1.306,-0.092,-0.321,0.087
1.297,-0.104,-0.321,0.176
1.297,-0.104,-0.400,0.097
1.208,-0.195,-0.400,0.123
1.208,-0.195,-0.255,0.268
1.278,-0.127,-0.255,0.324
1.278,-0.127,-0.463,0.116
1.303,-0.113,-0.463,0.360
1.303,-0.113,-0.516,0.307
